gtfsId,name,lat,lon,location,zoneId,mode,duration,walk_distance
HSL:2111240,Kyyhkysmäki,60.228517,24.806927,"60.228517, 24.806927",B,BUS,35.0,1704.0
HSL:1270102,Annalantie,60.21252,24.97844,"60.21252, 24.97844",A,BUS,27.0,258.0
HSL:1270104,Tekniikan museo,60.217158,24.981087,"60.217158, 24.981087",A,BUS,30.0,390.0
HSL:1270103,Annalantie,60.21316,24.97917,"60.21316, 24.97917",A,BUS,29.0,355.0
HSL:1270105,Tekniikan museo,60.21611,24.98016,"60.21611, 24.98016",A,BUS,30.0,412.0
HSL:1270107,Tekniikan museo,60.21705,24.979,"60.21705, 24.979",A,BUS,27.0,262.0
HSL:1600205,Vikkulla 2,60.246743,25.155558,"60.246743, 25.155558",C,BUS,37.0,532.0
HSL:1600206,Vikkulla 2,60.24737,25.156468,"60.24737, 25.156468",C,BUS,35.0,394.0
HSL:1600203,Vikkulla,60.245348,25.151417,"60.245348, 25.151417",C,BUS,37.0,611.0
HSL:1391192,Leivosentie,60.26397,25.00455,"60.26397, 25.00455",B,BUS,32.0,596.0
HSL:1600204,Vikkulla,60.245817,25.152437,"60.245817, 25.152437",C,BUS,34.0,399.0
HSL:1391193,Leivosentie,60.2638,25.00456,"60.2638, 25.00456",B,BUS,32.0,574.0
HSL:1600209,Östersundom,60.251682,25.176211,"60.251682, 25.176211",C,BUS,39.0,558.0
HSL:1391196,Sidetie,60.26709,25.00979,"60.26709, 25.00979",B,BUS,34.0,471.0
HSL:1600207,Talosaarentie,60.249545,25.164438,"60.249545, 25.164438",C,BUS,36.0,455.0
HSL:1600208,Talosaarentie,60.249428,25.163417,"60.249428, 25.163417",C,BUS,35.0,392.0
HSL:2111239,Porarinkatu,60.225421,24.822615,"60.225421, 24.822615",B,BUS,29.0,1300.0
HSL:2111236,Leppävaaran asema,60.21902,24.81092,"60.21902, 24.81092",B,BUS,20.0,572.0
HSL:2111237,Leppävaaran asema,60.21898,24.81058,"60.21898, 24.81058",B,BUS,20.0,579.0
HSL:4210299,Vantaanrinne,60.30173,24.8569,"60.30173, 24.8569",C,BUS,42.0,509.0
HSL:2111234,Leppävaaran asema,60.218887,24.812701,"60.218887, 24.812701",B,BUS,19.0,483.0
HSL:2111235,Leppävaaran asema,60.21893,24.81164,"60.21893, 24.81164",B,BUS,19.0,537.0
HSL:4210298,Vantaanmäki,60.30157,24.8534,"60.30157, 24.8534",C,BUS,41.0,436.0
HSL:2111232,Leppävaaran asema,60.218907,24.812232,"60.218907, 24.812232",B,BUS,19.0,504.0
HSL:4210297,Vantaanmäki,60.30152,24.85215,"60.30152, 24.85215",C,BUS,42.0,511.0
HSL:2111230,Leppävaaran asema,60.21927,24.81018,"60.21927, 24.81018",B,BUS,20.0,586.0
HSL:2111231,Leppävaaran asema,60.219171,24.81335,"60.219171, 24.81335",B,BUS,18.0,454.0
